run_name,tokens,metric,value
SmolLM2 1.7B,41943040000.0,winogrande,0.526440410418311
SmolLM2 1.7B,52428800000.0,winogrande,0.5232833464877664
SmolLM2 1.7B,62914560000.0,winogrande,0.5193370165745856
SmolLM2 1.7B,73400320000.0,winogrande,0.5248618784530387
SmolLM2 1.7B,83886080000.0,winogrande,0.5390686661404893
SmolLM2 1.7B,94371840000.0,winogrande,0.5280189423835833
SmolLM2 1.7B,104857600000.0,winogrande,0.5374901341752171
SmolLM2 1.7B,10485760000.0,openbookqa,0.272
SmolLM2 1.7B,20971520000.0,openbookqa,0.294
SmolLM2 1.7B,31457280000.0,openbookqa,0.298
SmolLM2 1.7B,41943040000.0,openbookqa,0.318
SmolLM2 1.7B,52428800000.0,openbookqa,0.312
SmolLM2 1.7B,62914560000.0,openbookqa,0.296
SmolLM2 1.7B,73400320000.0,openbookqa,0.322
SmolLM2 1.7B,83886080000.0,openbookqa,0.308
SmolLM2 1.7B,94371840000.0,openbookqa,0.31
SmolLM2 1.7B,104857600000.0,openbookqa,0.32
SmolLM3 (fixed),4718592000.0,hellaswag,0.3080063732324238
SmolLM3 (fixed),9437184000.0,hellaswag,0.39075881298546106
SmolLM3 (fixed),14155776000.0,hellaswag,0.44144592710615416
SmolLM3 (fixed),18874368000.0,hellaswag,0.4713204540928102
SmolLM3 (fixed),23592960000.0,hellaswag,0.49133638717386974
SmolLM3 (fixed),28311552000.0,hellaswag,0.5203146783509262
SmolLM3 (fixed),33030144000.0,hellaswag,0.5349531965743876
SmolLM3 (fixed),37748736000.0,hellaswag,0.5510854411471818
SmolLM3 (fixed),42467328000.0,hellaswag,0.5574586735710018
SmolLM3 (fixed),47185920000.0,hellaswag,0.5649273053176658
SmolLM3 (fixed),51904512000.0,hellaswag,0.5694084843656642
SmolLM3 (fixed),56623104000.0,hellaswag,0.5769766978689504
SmolLM3 (fixed),61341696000.0,hellaswag,0.5838478390758813
SmolLM3 (fixed),66060288000.0,hellaswag,0.5883290181238797
