Step,throughput_drops,throughput_no_drops
358,13508.42370958712,9114.665908343324
359,13830.81185712668,13831.747228664624
360,13382.739808890736,13442.286288972233
361,13818.81173186904,13891.336136777609
362,13563.482939461246,13829.08249537149
363,13891.628182376851,9500.50056848597
364,13564.18972745614,13980.664423522416
365,12970.905476763684,13968.36511210281
366,13877.384685971294,13989.582256058537
367,13776.363480651198,13702.174964866972
368,13769.995915457888,13849.788987157272
369,13402.046662568531,13962.756907472329
370,13697.025950666944,13903.702651651058
371,13725.872361730891,13783.29719946086
372,13882.16167750798,13285.389968603551
373,13813.011975656324,13975.652663610475
374,13564.168308555862,13978.487922917571
375,13678.464866460115,13979.140043624797
376,13346.123911184675,13788.533426078024
377,13919.120369710208,13759.202919087582
378,13653.114876180616,13994.733213387908
379,13707.7361668899,13853.57874800756
380,13663.531917871844,13891.208838692568
381,13465.82428036718,13924.716141122157
382,13757.7778622482,13875.51664805456
383,13810.687514871925,13972.091267674668
384,13745.449499356728,13824.097229687755
385,13550.673582453084,13804.85020311016
386,13700.659718637238,13816.21864640773
387,13814.159689042346,13789.278620997427
388,13857.266261574696,13907.642070586811
389,13929.111673733074,13375.529692656326
390,13829.973099772988,13994.801614437836
391,13733.501833012777,13891.60571689479
392,13640.085205396792,13921.75222873986
393,13728.468209856976,13941.311757046044
394,13581.475388461084,13878.550596507555
395,13788.599826316897,13745.258876880587
396,13725.265586710304,13888.63342567342
397,13504.85579827564,13920.44369442854
398,13777.210479099862,13926.82324202917
399,13829.609422452437,13917.699579549411
400,13704.572360905777,13893.208436913194
401,14107.22215129933,13824.571862034334
402,13832.415428655164,13705.417843451767
403,13450.881347916977,13962.136573166052
404,13888.169353960771,13848.46417696935
405,13927.628624007912,13886.86712478768
406,13746.776671590364,14022.978801578509
407,13845.666534495154,13902.397508015383
408,13487.178591597063,13729.382474632148
409,13716.696053372563,13844.632585796278
410,13861.3732578348,14008.731347234898
411,13910.88532420113,13950.330477562911
412,13786.984268701111,13877.937721674412
413,13705.009666439755,13820.916550955162
414,13774.50781336442,13837.71877052248
415,13810.58389471078,13935.845829543352
416,13647.265429418158,13926.958720331351
417,13453.318028001073,13918.631705447751
418,402.28116192422425,13840.260467414451
419,669.7483062022128,13654.257875101534
420,13836.901464080967,13933.502448519452
421,13787.699788608394,13835.460267981538
422,778.9737918816468,13888.730734965751
423,895.9760036537464,13896.145219867596
424,13876.600048786557,13992.240831265974
425,13803.497006809135,13545.68762155468
426,13902.757523164695,13846.46255704254
427,13750.75238905801,13986.879141480233
428,13794.40124830379,13916.534597729704
429,13827.650347196324,13768.18609899492
430,13682.735344574465,13889.082556861054
431,13845.22020676116,13020.332880456064
432,13819.197073332392,13759.5335156917
433,13817.804017327884,13991.46594216708
434,13846.284001966544,13631.989437111455
435,13834.138197489869,13839.383402172753
436,13848.345105322383,13583.472723209205
437,13888.820560138189,13880.187686127623
438,13820.471817446109,13959.29281911609
439,13779.914205611574,13561.976798686
440,13786.7187338164,13929.30742977727
441,13744.093262142977,13698.707876152532
442,13805.153414618466,13980.285193479504
443,13911.298346988318,13850.9279310899
444,13890.849421398862,13803.60791455732
445,13155.22868219033,13885.961695576669
446,13868.131617482051,13836.500276248878
447,13740.802750527611,13923.091098879013
448,13624.486712455582,13928.396458041803
449,13845.72604703392,13828.154904417584
450,13783.584719948269,13886.09638004978
451,13875.561475074412,13839.63610448602
452,13860.843907529126,13841.100473082426
453,13794.51939410712,13921.66949802194
454,13856.23803015166,13945.54419748383
455,13633.879032659128,13895.0737495956
456,13605.906062039605,13942.66193575614
457,13739.637891405384,13855.38128718924
458,13738.033786117923,13878.924327241351
459,13592.65082761782,13643.984993090597
460,13844.230949532372,13745.339524206009
461,13686.368801852055,13813.92272613971
462,677.7404863788905,13855.336590464423
463,13791.55159401473,13920.639206911865
464,13437.204589645922,13785.096242850632
465,13836.790020682856,13651.661084470365
466,13922.887995267154,13743.594820593256
467,13921.120491807706,13760.98098118624
468,13910.502361348696,13726.14286908931
469,13891.995128869856,13985.148481945887
470,13748.62487415671,13907.777175960357
471,13909.263508334829,13187.002938313832
472,13896.385012065735,13892.84891613928
473,13915.10682153213,13922.557024299558
474,13692.44825495671,13900.432753919473
475,13824.23813276412,13613.46024675575
476,13790.916857316706,13736.77420345293
477,13964.603106375644,13869.669206139732
478,13997.773905712842,13865.616976766709
479,13627.973983433716,13965.829131087943
480,13770.22401551767,13807.794136384751
481,13878.86452897134,13754.275240247976
482,13902.90753498008,13263.993452880037
483,13766.597384059472,13913.88968582554
484,13862.446993891765,13850.67481625008
485,13768.61276082824,13940.452002988268
486,13603.34917112373,13773.160558755242
487,13481.900672635302,13844.238387029189
488,13641.709845980376,13808.386033330064
489,13486.917420917494,13668.126543311371
490,13920.473772914667,13895.748082242748
491,13744.518432035586,13919.067742679472
492,13735.4489617851,13821.717143404225
493,13829.587157115397,13497.44283891567
494,13896.452455112552,13907.979838942532
495,13549.106170700055,13746.102054783194
496,13844.550769111753,13920.78208489203
497,13895.927915336108,13961.327195431357
498,13680.265695397567,13823.244456579288
499,13851.389517261692,13896.347543989255
500,13824.104645567537,13805.404868411044
501,13789.02037601452,13795.4055521443
502,13949.492263846072,13748.456168392928
503,13810.635704596987,13979.420625905252
504,13418.068853910116,13729.594601463115
505,13884.99653330431,13917.451534819817
506,13812.95274401193,13753.709994652185
507,13727.846579358957,13859.218831041017
508,13873.58189109613,13802.735488404704
509,13839.9036817002,13922.48932763103
510,13760.70175093848,13931.393326179272
511,13801.641414879858,13627.945155696623
512,13825.625068940875,13810.236038398858
513,13848.352547240327,13746.659342171732
514,13681.63115591816,14006.30249060804
515,13816.077906759798,13961.501165905289
516,13505.280450787368,13731.79671883759
517,13537.198569679282,13647.980976359737
518,13870.124576949906,13926.311458896264
519,13822.369546572409,13973.030693728031
520,13503.015945941414,13912.905614496742
521,13416.476087044804,13902.232507303175
522,13909.586339678246,13318.209845317402
523,13900.920141114024,13885.991625233792
524,13941.80201516568,13899.00827960034
525,13883.799619202784,13911.298346988318
526,13581.06024566254,14004.049508523136
527,13744.371818756385,13685.75097797836
528,13882.63282661607,13803.741006207712
529,13909.631387103618,13905.443224403834
530,13857.407841621043,13874.48570653274
531,13941.243877870094,13927.63615138164
532,13765.501678634784,13876.136780873292
533,13890.841933736352,13986.788043457613
534,13922.030512007235,13259.216190670732
535,13830.218036094084,13873.925476479022
536,13651.364577908987,14005.427090517487
537,13801.767076670283,13944.216096412243
538,13824.890773947634,13984.093597005418
539,13925.73198516955,13605.712106852909
540,13849.989963652231,13590.07741498622
541,13803.65227815562,13860.993016200866
542,13510.81753179549,13917.677029663188
543,13874.552937179616,13996.64109340833
544,13773.683232804811,13742.216964434743
545,13888.438811179389,13849.707109516708
546,13776.768553872012,13688.317129436587
547,13839.554346845396,13584.532479773285
548,13780.606883938812,13730.326123569614
549,13880.329734941315,14025.276045331864
550,13900.567719259256,13819.901118042268
551,13830.307105998278,13989.931611134489
552,13400.701592651969,13681.347873083694
553,13773.720042331664,13647.106429175905
554,13905.23313215468,13900.852654694689
555,13888.685822815236,13832.081320590043
556,13787.07278260237,13605.38886049645
557,13939.456630758454,13608.327375442195
558,13788.230944193356,13834.331293152089
559,13734.109336494104,13896.69225791422
560,13892.624225104277,13787.058030206566
561,13853.906447518457,13806.366393858932
562,13764.21499899585,13898.84335932802
563,13876.67477231472,13876.465548463804
564,13901.452556953504,13903.61263387792
565,13515.23203737512,13940.127737332889
566,13848.159059973144,13893.657864048148
567,13922.77516248764,13938.823286071509
568,13746.66667520172,13567.867641468603
569,13843.710344612702,13924.046517584038
570,13962.734211343331,13849.684779419114
571,13720.259912790234,13975.940685591006
572,13823.889588284204,13956.132771112265
573,13834.011945548227,13883.747258922274
574,13754.407382282034,13086.50605706207
575,13804.295582377506,13886.702492512331
576,13829.498096484158,13757.6089317832
577,13880.718514983426,13830.470403802365
578,13810.243439414531,13731.108938556416
579,13939.245509467886,13867.333101581544
580,13396.52871620041,13800.599249395918
581,13394.87143320498,13847.533984213582
582,13795.154462474698,13856.543503264134
583,13902.180007897923,13823.874756994066
584,13815.56682373036,13904.895497196878
585,13839.933413140465,13268.097821173307
586,13761.928978933996,13940.565122463684
587,13882.587953894588,13874.209320718492
588,13743.49953441341,13802.58023768256
589,13862.70799653564,13938.378471234364
590,13802.617201823436,13537.404799327587
591,13800.495780561345,13687.982675566846
592,13850.47381987905,13956.231028560936
593,13910.952908069872,13753.687973036802
594,13871.199669284828,13868.736162641631
595,13869.863294959932,13748.668885036886
596,13663.640587843243,13849.02235261051
597,13928.742763836017,13889.524230855675
598,13907.807199733174,13756.661529099005
599,13807.94210586384,13917.819846843406
600,13659.331337511554,14006.827783192006
601,14406.002924826593,13804.480451003365
602,13785.36908961842,13316.21406145038
603,13804.369529233663,14008.05361912807
604,13858.875973678152,13949.303490870903
605,13882.236460945474,13745.119579183853
606,13930.858614493392,13888.176838742327
607,13922.782684616046,13332.252281037949
608,13876.099421905556,13946.049847901935
609,13940.082492161688,13896.527392599031
610,13979.686051942766,9364.201072040216
611,13889.06758535347,13885.138680562328
612,13520.713437393426,13824.304877329148
613,13588.823319167874,13976.622890270472
614,13929.82696288,6912.130190440427
615,13916.324170198428,13985.892309437377
616,13902.742522161205,13918.00776865146
617,13903.665144103928,13957.274154473593
618,13892.070018291097,9306.013737037569
619,13859.69587820155,13923.896049246769
620,13899.270660827167,13919.210588403052
621,13262.962637996076,13840.29020038766
622,13880.06059228506,13914.881409965656
623,13743.675448392823,13838.216631762092
624,13927.064094166475,13813.100824075394
625,13918.97000782104,13946.457413732358
626,13887.016793879966,13852.62552848142
627,13150.583118748067,13992.126871603748
628,13550.388571524722,13754.767115127795
629,13678.936812066857,13878.894428041936
630,13258.308899855532,13930.414307839092
631,13687.786373298572,9013.894086462686
632,13852.2755511119,13895.186133825087
633,13937.71507134412,13863.67752098128
634,13724.922015006456,13778.227014726828
635,13843.710344612702,13952.641750606948
636,13761.83343835912,9212.730530406354
637,13897.561612453,13953.843008594917
638,13893.845133936178,13944.638646585943
639,13865.340944173957,13572.86994700378
640,13839.071253232229,13383.045611760966
641,13817.04832786706,13968.077402275563
642,13850.51104098912,13902.540011782452
643,13820.323579303358,13650.57636700148
644,13832.88320706325,13950.776055586985
