"Step","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX"
"363","13891.628182376851","13891.628182376851","13891.628182376851"
"364","13564.18972745614","13564.18972745614","13564.18972745614"
"365","12970.905476763683","12970.905476763683","12970.905476763683"
"366","13877.384685971294","13877.384685971294","13877.384685971294"
"367","13776.363480651198","13776.363480651198","13776.363480651198"
"368","13769.995915457888","13769.995915457888","13769.995915457888"
"369","13402.046662568531","13402.046662568531","13402.046662568531"
"370","13697.025950666944","13697.025950666944","13697.025950666944"
"371","13725.872361730891","13725.872361730891","13725.872361730891"
"372","13882.16167750798","13882.16167750798","13882.16167750798"
"373","13813.011975656324","13813.011975656324","13813.011975656324"
"374","13564.168308555862","13564.168308555862","13564.168308555862"
"375","13678.464866460117","13678.464866460117","13678.464866460117"
"376","13346.123911184675","13346.123911184675","13346.123911184675"
"377","13919.120369710208","13919.120369710208","13919.120369710208"
"378","13653.114876180616","13653.114876180616","13653.114876180616"
"379","13707.736166889901","13707.736166889901","13707.736166889901"
"380","13663.531917871844","13663.531917871844","13663.531917871844"
"381","13465.82428036718","13465.82428036718","13465.82428036718"
"382","13757.7778622482","13757.7778622482","13757.7778622482"
"383","13810.687514871925","13810.687514871925","13810.687514871925"
"384","13745.449499356728","13745.449499356728","13745.449499356728"
"385","13550.673582453084","13550.673582453084","13550.673582453084"
"386","13700.659718637238","13700.659718637238","13700.659718637238"
"387","13814.159689042346","13814.159689042346","13814.159689042346"
"388","13857.266261574696","13857.266261574696","13857.266261574696"
"389","13929.111673733074","13929.111673733074","13929.111673733074"
"390","13829.973099772988","13829.973099772988","13829.973099772988"
"391","13733.501833012777","13733.501833012777","13733.501833012777"
"392","13640.085205396792","13640.085205396792","13640.085205396792"
"393","13728.468209856976","13728.468209856976","13728.468209856976"
"394","13581.475388461085","13581.475388461085","13581.475388461085"
"395","13788.599826316897","13788.599826316897","13788.599826316897"
"396","13725.265586710304","13725.265586710304","13725.265586710304"
"397","13504.855798275641","13504.855798275641","13504.855798275641"
"398","13777.210479099862","13777.210479099862","13777.210479099862"
"399","13829.609422452437","13829.609422452437","13829.609422452437"
"400","13704.572360905775","13704.572360905775","13704.572360905775"
"401","14107.22215129933","14107.22215129933","14107.22215129933"
"402","13832.415428655164","13832.415428655164","13832.415428655164"
"403","13450.881347916977","13450.881347916977","13450.881347916977"
"404","13888.169353960773","13888.169353960773","13888.169353960773"
"405","13927.628624007913","13927.628624007913","13927.628624007913"
"406","13746.776671590365","13746.776671590365","13746.776671590365"
"407","13845.666534495154","13845.666534495154","13845.666534495154"
"408","13487.178591597063","13487.178591597063","13487.178591597063"
"409","13716.696053372565","13716.696053372565","13716.696053372565"
"410","13861.3732578348","13861.3732578348","13861.3732578348"
"411","13910.88532420113","13910.88532420113","13910.88532420113"
"412","13786.984268701113","13786.984268701113","13786.984268701113"
"413","13705.009666439755","13705.009666439755","13705.009666439755"
"414","13774.50781336442","13774.50781336442","13774.50781336442"
"415","13810.583894710779","13810.583894710779","13810.583894710779"
"416","13647.265429418158","13647.265429418158","13647.265429418158"
"417","13453.318028001073","13453.318028001073","13453.318028001073"
"418","402.28116192422425","402.28116192422425","402.28116192422425"
"419","669.7483062022128","669.7483062022128","669.7483062022128"
"420","13836.901464080967","13836.901464080967","13836.901464080967"
"421","13787.699788608394","13787.699788608394","13787.699788608394"
"422","778.9737918816468","778.9737918816468","778.9737918816468"
"423","895.9760036537464","895.9760036537464","895.9760036537464"
"424","13876.600048786555","13876.600048786555","13876.600048786555"
"425","13803.497006809135","13803.497006809135","13803.497006809135"
"426","13902.757523164697","13902.757523164697","13902.757523164697"
"427","13750.75238905801","13750.75238905801","13750.75238905801"
"428","13794.40124830379","13794.40124830379","13794.40124830379"
"429","13827.650347196324","13827.650347196324","13827.650347196324"
"430","13682.735344574465","13682.735344574465","13682.735344574465"
"431","13845.22020676116","13845.22020676116","13845.22020676116"
"432","13819.197073332392","13819.197073332392","13819.197073332392"
"433","13817.804017327884","13817.804017327884","13817.804017327884"
"434","13846.284001966544","13846.284001966544","13846.284001966544"
"435","13834.138197489867","13834.138197489867","13834.138197489867"
"436","13848.345105322383","13848.345105322383","13848.345105322383"
"437","13888.820560138187","13888.820560138187","13888.820560138187"
"438","13820.471817446107","13820.471817446107","13820.471817446107"
"439","13779.914205611574","13779.914205611574","13779.914205611574"
"440","13786.718733816399","13786.718733816399","13786.718733816399"
"441","13744.093262142975","13744.093262142975","13744.093262142975"
"442","13805.153414618466","13805.153414618466","13805.153414618466"
"443","13911.298346988318","13911.298346988318","13911.298346988318"
"444","13890.849421398862","13890.849421398862","13890.849421398862"
"445","13155.22868219033","13155.22868219033","13155.22868219033"
"446","13868.131617482051","13868.131617482051","13868.131617482051"
"447","13740.802750527613","13740.802750527613","13740.802750527613"
"448","13624.486712455582","13624.486712455582","13624.486712455582"
"449","13845.726047033919","13845.726047033919","13845.726047033919"
"450","13783.584719948267","13783.584719948267","13783.584719948267"
"451","13875.561475074413","13875.561475074413","13875.561475074413"
"452","13860.843907529126","13860.843907529126","13860.843907529126"
"453","13794.519394107121","13794.519394107121","13794.519394107121"
"454","13856.23803015166","13856.23803015166","13856.23803015166"
