"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"342","19150","19150","19150","5474.796875","5474.796875","5474.796875"
"343","19206","19206","19206","8193.75390625","8193.75390625","8193.75390625"
"344","19262","19262","19262","6977.1171875","6977.1171875","6977.1171875"
"345","19318","19318","19318","9203.7734375","9203.7734375","9203.7734375"
"346","19374","19374","19374","6138.70654296875","6138.70654296875","6138.70654296875"
"347","19430","19430","19430","7321.283203125","7321.283203125","7321.283203125"
"348","19486","19486","19486","8053.2578125","8053.2578125","8053.2578125"
"349","19542","19542","19542","6515.7421875","6515.7421875","6515.7421875"
"350","19598","19598","19598","6742.0859375","6742.0859375","6742.0859375"
"351","19654","19654","19654","8805.34375","8805.34375","8805.34375"
"352","19710","19710","19710","7717.7734375","7717.7734375","7717.7734375"
"353","19766","19766","19766","7161.6640625","7161.6640625","7161.6640625"
"354","19822","19822","19822","6580.5703125","6580.5703125","6580.5703125"
"355","19878","19878","19878","8363.65625","8363.65625","8363.65625"
"356","19934","19934","19934","6354.03955078125","6354.03955078125","6354.03955078125"
"357","19990","19990","19990","6574.375","6574.375","6574.375"
"358","20046","20046","20046","8808.322265625","8808.322265625","8808.322265625"
"359","20102","20102","20102","7976.609375","7976.609375","7976.609375"
"360","20158","20158","20158","6383.75","6383.75","6383.75"
"361","20214","20214","20214","8252.96875","8252.96875","8252.96875"
"362","20270","20270","20270","7965.0546875","7965.0546875","7965.0546875"
"363","20326","20326","20326","6404.46875","6404.46875","6404.46875"
"364","20382","20382","20382","8646.4326171875","8646.4326171875","8646.4326171875"
"365","20438","20438","20438","5633.2421875","5633.2421875","5633.2421875"
"366","20494","20494","20494","6980.65625","6980.65625","6980.65625"
"367","20550","20550","20550","7272.5","7272.5","7272.5"
"368","20606","20606","20606","7929.861328125","7929.861328125","7929.861328125"
"369","20662","20662","20662","7945.453125","7945.453125","7945.453125"
"370","20718","20718","20718","9264.078125","9264.078125","9264.078125"
"371","20774","20774","20774","7156.8671875","7156.8671875","7156.8671875"
"372","20830","20830","20830","5278.0703125","5278.0703125","5278.0703125"
"373","20886","20886","20886","5914.8515625","5914.8515625","5914.8515625"
"374","20942","20942","20942","7008.203125","7008.203125","7008.203125"
"375","20998","20998","20998","8213.8515625","8213.8515625","8213.8515625"
"376","21054","21054","21054","4326.9765625","4326.9765625","4326.9765625"
"377","21110","21110","21110","8619.3984375","8619.3984375","8619.3984375"
"378","21166","21166","21166","5566.734375","5566.734375","5566.734375"
"379","21222","21222","21222","6993.21875","6993.21875","6993.21875"
"380","21278","21278","21278","5075.59375","5075.59375","5075.59375"
"381","21334","21334","21334","5960.78759765625","5960.78759765625","5960.78759765625"
"382","21390","21390","21390","5243.078125","5243.078125","5243.078125"
"383","21446","21446","21446","6500.9921875","6500.9921875","6500.9921875"
