run_name,step,throughput
With drops,348,13794.888612786786
Without drops,348,13790.37073529404
With drops,349,13712.09790629516
Without drops,349,13921.782312881069
With drops,350,13873.89559881363
Without drops,350,13884.614994528549
With drops,351,12988.91713642852
Without drops,351,13875.9201016606
With drops,352,13625.81944620695
Without drops,352,13926.860874626493
With drops,353,13699.574483829914
Without drops,353,13912.928148923997
With drops,354,13284.410610494711
Without drops,354,13778.779542660806
With drops,355,13428.557018910597
Without drops,355,13980.565821732052
With drops,356,13482.831769916367
Without drops,356,13852.387244095758
With drops,357,13625.668149797835
Without drops,357,13836.39626838625
With drops,358,13508.42370958712
Without drops,358,9114.665908343324
With drops,359,13830.81185712668
Without drops,359,13831.747228664624
With drops,360,13382.739808890736
Without drops,360,13442.286288972233
With drops,361,13818.81173186904
Without drops,361,13891.336136777609
With drops,362,13563.482939461246
Without drops,362,13829.08249537149
With drops,363,13891.628182376851
Without drops,363,9500.50056848597
With drops,364,13564.18972745614
Without drops,364,13980.664423522416
With drops,365,12970.905476763684
Without drops,365,13968.36511210281
With drops,366,13877.384685971294
Without drops,366,13989.582256058537
With drops,367,13776.363480651198
Without drops,367,13702.174964866972
With drops,368,13769.995915457888
Without drops,368,13849.788987157272
With drops,369,13402.046662568531
Without drops,369,13962.756907472329
With drops,370,13697.025950666944
Without drops,370,13903.702651651058
With drops,371,13725.872361730891
Without drops,371,13783.29719946086
With drops,372,13882.16167750798
Without drops,372,13285.389968603551
With drops,373,13813.011975656324
Without drops,373,13975.652663610475
With drops,374,13564.168308555862
Without drops,374,13978.487922917571
With drops,375,13678.464866460115
Without drops,375,13979.140043624797
With drops,376,13346.123911184675
Without drops,376,13788.533426078024
With drops,377,13919.120369710208
Without drops,377,13759.202919087582
With drops,378,13653.114876180616
Without drops,378,13994.733213387908
With drops,379,13707.7361668899
Without drops,379,13853.57874800756
With drops,380,13663.531917871844
Without drops,380,13891.208838692568
With drops,381,13465.82428036718
Without drops,381,13924.716141122157
With drops,382,13757.7778622482
Without drops,382,13875.51664805456
With drops,383,13810.687514871925
Without drops,383,13972.091267674668
With drops,384,13745.449499356728
Without drops,384,13824.097229687755
With drops,385,13550.673582453084
Without drops,385,13804.85020311016
With drops,386,13700.659718637238
Without drops,386,13816.21864640773
With drops,387,13814.159689042346
Without drops,387,13789.278620997427
With drops,388,13857.266261574696
Without drops,388,13907.642070586811
With drops,389,13929.111673733074
Without drops,389,13375.529692656326
With drops,390,13829.973099772988
Without drops,390,13994.801614437836
With drops,391,13733.501833012777
Without drops,391,13891.60571689479
With drops,392,13640.085205396792
Without drops,392,13921.75222873986
With drops,393,13728.468209856976
Without drops,393,13941.311757046044
With drops,394,13581.475388461084
Without drops,394,13878.550596507555
With drops,395,13788.599826316897
Without drops,395,13745.258876880587
With drops,396,13725.265586710304
Without drops,396,13888.63342567342
With drops,397,13504.85579827564
Without drops,397,13920.44369442854
With drops,398,13777.210479099862
Without drops,398,13926.82324202917
With drops,399,13829.609422452437
Without drops,399,13917.699579549411
With drops,400,13704.572360905777
Without drops,400,13893.208436913194
With drops,401,14107.22215129933
Without drops,401,13824.571862034334
With drops,402,13832.415428655164
Without drops,402,13705.417843451767
With drops,403,13450.881347916977
Without drops,403,13962.136573166052
With drops,404,13888.169353960771
Without drops,404,13848.46417696935
With drops,405,13927.628624007912
Without drops,405,13886.86712478768
With drops,406,13746.776671590364
Without drops,406,14022.978801578509
With drops,407,13845.666534495154
Without drops,407,13902.397508015383
With drops,408,13487.178591597063
Without drops,408,13729.382474632148
With drops,409,13716.696053372563
Without drops,409,13844.632585796278
With drops,410,13861.3732578348
Without drops,410,14008.731347234898
With drops,411,13910.88532420113
Without drops,411,13950.330477562911
With drops,412,13786.984268701111
Without drops,412,13877.937721674412
With drops,413,13705.009666439755
Without drops,413,13820.916550955162
With drops,414,13774.50781336442
Without drops,414,13837.71877052248
With drops,415,13810.58389471078
Without drops,415,13935.845829543352
With drops,416,13647.265429418158
Without drops,416,13926.958720331351
With drops,417,13453.318028001073
Without drops,417,13918.631705447751
With drops,418,402.28116192422425
Without drops,418,13840.260467414451
With drops,419,669.7483062022128
Without drops,419,13654.257875101534
With drops,420,13836.901464080967
Without drops,420,13933.502448519452
With drops,421,13787.699788608394
Without drops,421,13835.460267981538
With drops,422,778.9737918816468
Without drops,422,13888.730734965751
With drops,423,895.9760036537464
Without drops,423,13896.145219867596
With drops,424,13876.600048786557
Without drops,424,13992.240831265974
With drops,425,13803.497006809135
Without drops,425,13545.68762155468
With drops,426,13902.757523164695
Without drops,426,13846.46255704254
With drops,427,13750.75238905801
Without drops,427,13986.879141480233
With drops,428,13794.40124830379
Without drops,428,13916.534597729704
With drops,429,13827.650347196324
Without drops,429,13768.18609899492
With drops,430,13682.735344574465
Without drops,430,13889.082556861054
With drops,431,13845.22020676116
Without drops,431,13020.332880456064
With drops,432,13819.197073332392
Without drops,432,13759.5335156917
With drops,433,13817.804017327884
Without drops,433,13991.46594216708
With drops,434,13846.284001966544
Without drops,434,13631.989437111455
With drops,435,13834.138197489869
Without drops,435,13839.383402172753
With drops,436,13848.345105322383
Without drops,436,13583.472723209205
With drops,437,13888.820560138189
Without drops,437,13880.187686127623
With drops,438,13820.471817446109
Without drops,438,13959.29281911609
With drops,439,13779.914205611574
Without drops,439,13561.976798686
With drops,440,13786.7187338164
Without drops,440,13929.30742977727
With drops,441,13744.093262142977
Without drops,441,13698.707876152532
With drops,442,13805.153414618466
Without drops,442,13980.285193479504
With drops,443,13911.298346988318
Without drops,443,13850.9279310899
With drops,444,13890.849421398862
Without drops,444,13803.60791455732
With drops,445,13155.22868219033
Without drops,445,13885.961695576669
With drops,446,13868.131617482051
Without drops,446,13836.500276248878
With drops,447,13740.802750527611
Without drops,447,13923.091098879013
With drops,448,13624.486712455582
Without drops,448,13928.396458041803
With drops,449,13845.72604703392
Without drops,449,13828.154904417584
With drops,450,13783.584719948269
Without drops,450,13886.09638004978
With drops,451,13875.561475074412
Without drops,451,13839.63610448602
With drops,452,13860.843907529126
Without drops,452,13841.100473082426
With drops,453,13794.51939410712
Without drops,453,13921.66949802194
With drops,454,13856.23803015166
Without drops,454,13945.54419748383
With drops,455,13633.879032659128
Without drops,455,13895.0737495956
With drops,456,13605.906062039605
Without drops,456,13942.66193575614
With drops,457,13739.637891405384
Without drops,457,13855.38128718924
With drops,458,13738.033786117923
Without drops,458,13878.924327241351
With drops,459,13592.65082761782
Without drops,459,13643.984993090597
With drops,460,13844.230949532372
Without drops,460,13745.339524206009
With drops,461,13686.368801852055
Without drops,461,13813.92272613971
With drops,462,677.7404863788905
Without drops,462,13855.336590464423
With drops,463,13791.55159401473
Without drops,463,13920.639206911865
With drops,464,13437.204589645922
Without drops,464,13785.096242850632
With drops,465,13836.790020682856
Without drops,465,13651.661084470365
With drops,466,13922.887995267154
Without drops,466,13743.594820593256
With drops,467,13921.120491807706
Without drops,467,13760.98098118624
With drops,468,13910.502361348696
Without drops,468,13726.14286908931
With drops,469,13891.995128869856
Without drops,469,13985.148481945887
With drops,470,13748.62487415671
Without drops,470,13907.777175960357
With drops,471,13909.263508334829
Without drops,471,13187.002938313832
With drops,472,13896.385012065735
Without drops,472,13892.84891613928
With drops,473,13915.10682153213
Without drops,473,13922.557024299558
With drops,474,13692.44825495671
Without drops,474,13900.432753919473
With drops,475,13824.23813276412
Without drops,475,13613.46024675575
With drops,476,13790.916857316706
Without drops,476,13736.77420345293
With drops,477,13964.603106375644
Without drops,477,13869.669206139732
With drops,478,13997.773905712842
Without drops,478,13865.616976766709
With drops,479,13627.973983433716
Without drops,479,13965.829131087943
With drops,480,13770.22401551767
Without drops,480,13807.794136384751
With drops,481,13878.86452897134
Without drops,481,13754.275240247976
