"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"296","16574","16574","16574","0.8116073608398438","0.8116073608398438","0.8116073608398438"
"297","16630","16630","16630","0.8046875","0.8046875","0.8046875"
"298","16686","16686","16686","0.609375","0.609375","0.609375"
"299","16742","16742","16742","0.8046875","0.8046875","0.8046875"
"300","16798","16798","16798","0.8130416870117188","0.8130416870117188","0.8130416870117188"
"301","16854","16854","16854","0.6906585693359375","0.6906585693359375","0.6906585693359375"
"302","16910","16910","16910","0.96875","0.96875","0.96875"
"303","16966","16966","16966","0.8523788452148438","0.8523788452148438","0.8523788452148438"
"304","17022","17022","17022","0.821868896484375","0.821868896484375","0.821868896484375"
"305","17078","17078","17078","0.6750946044921875","0.6750946044921875","0.6750946044921875"
"306","17134","17134","17134","0.7569732666015625","0.7569732666015625","0.7569732666015625"
"307","17190","17190","17190","0.8508682250976562","0.8508682250976562","0.8508682250976562"
"308","17246","17246","17246","0.798187255859375","0.798187255859375","0.798187255859375"
"309","17302","17302","17302","0.7890625","0.7890625","0.7890625"
"310","17358","17358","17358","0.90625","0.90625","0.90625"
"311","17414","17414","17414","0.619354248046875","0.619354248046875","0.619354248046875"
"312","17470","17470","17470","0.962310791015625","0.962310791015625","0.962310791015625"
"313","17526","17526","17526","0.78125","0.78125","0.78125"
"314","17582","17582","17582","0.6752777099609375","0.6752777099609375","0.6752777099609375"
"315","17638","17638","17638","0.85394287109375","0.85394287109375","0.85394287109375"
"316","17694","17694","17694","0.7898178100585938","0.7898178100585938","0.7898178100585938"
"317","17750","17750","17750","0.6387100219726562","0.6387100219726562","0.6387100219726562"
"318","17806","17806","17806","0.8431167602539062","0.8431167602539062","0.8431167602539062"
"319","17862","17862","17862","0.8828125","0.8828125","0.8828125"
"320","17918","17918","17918","0.7973556518554688","0.7973556518554688","0.7973556518554688"
"321","17974","17974","17974","0.8671875","0.8671875","0.8671875"
"322","18030","18030","18030","0.7944183349609375","0.7944183349609375","0.7944183349609375"
"323","18086","18086","18086","0.5633087158203125","0.5633087158203125","0.5633087158203125"
"324","18142","18142","18142","0.7366943359375","0.7366943359375","0.7366943359375"
"325","18198","18198","18198","0.7013626098632812","0.7013626098632812","0.7013626098632812"
"326","18254","18254","18254","0.7553482055664062","0.7553482055664062","0.7553482055664062"
"327","18310","18310","18310","0.8234176635742188","0.8234176635742188","0.8234176635742188"
"328","18366","18366","18366","0.6784896850585938","0.6784896850585938","0.6784896850585938"
"329","18422","18422","18422","0.984375","0.984375","0.984375"
"330","18478","18478","18478","0.6202163696289062","0.6202163696289062","0.6202163696289062"
"331","18534","18534","18534","0.7649078369140625","0.7649078369140625","0.7649078369140625"
"332","18590","18590","18590","0.6406021118164062","0.6406021118164062","0.6406021118164062"
"333","18646","18646","18646","0.7677688598632812","0.7677688598632812","0.7677688598632812"
"334","18702","18702","18702","0.9564971923828125","0.9564971923828125","0.9564971923828125"
"335","18758","18758","18758","0.8671875","0.8671875","0.8671875"
"336","18814","18814","18814","0.8452224731445312","0.8452224731445312","0.8452224731445312"
"337","18870","18870","18870","0.63232421875","0.63232421875","0.63232421875"
"338","18926","18926","18926","0.7938613891601562","0.7938613891601562","0.7938613891601562"
"339","18982","18982","18982","0.6221389770507812","0.6221389770507812","0.6221389770507812"
"340","19038","19038","19038","0.7848892211914062","0.7848892211914062","0.7848892211914062"
"341","19094","19094","19094","0.7829818725585938","0.7829818725585938","0.7829818725585938"
"342","19150","19150","19150","0.8960418701171875","0.8960418701171875","0.8960418701171875"
"343","19206","19206","19206","0.7014694213867188","0.7014694213867188","0.7014694213867188"
"344","19262","19262","19262","0.7046661376953125","0.7046661376953125","0.7046661376953125"
"345","19318","19318","19318","0.7769317626953125","0.7769317626953125","0.7769317626953125"
"346","19374","19374","19374","0.9126968383789062","0.9126968383789062","0.9126968383789062"
"347","19430","19430","19430","0.952362060546875","0.952362060546875","0.952362060546875"
"348","19486","19486","19486","0.6403884887695312","0.6403884887695312","0.6403884887695312"
"349","19542","19542","19542","0.9375","0.9375","0.9375"
"350","19598","19598","19598","0.890625","0.890625","0.890625"
"351","19654","19654","19654","0.77130126953125","0.77130126953125","0.77130126953125"
"352","19710","19710","19710","0.7176589965820312","0.7176589965820312","0.7176589965820312"
"353","19766","19766","19766","0.8381271362304688","0.8381271362304688","0.8381271362304688"
"354","19822","19822","19822","0.7883987426757812","0.7883987426757812","0.7883987426757812"
"355","19878","19878","19878","0.6345138549804688","0.6345138549804688","0.6345138549804688"
"356","19934","19934","19934","0.8130645751953125","0.8130645751953125","0.8130645751953125"
"357","19990","19990","19990","0.7832260131835938","0.7832260131835938","0.7832260131835938"
"358","20046","20046","20046","0.77484130859375","0.77484130859375","0.77484130859375"
"359","20102","20102","20102","0.8645095825195312","0.8645095825195312","0.8645095825195312"
"360","20158","20158","20158","0.8515625","0.8515625","0.8515625"
"361","20214","20214","20214","0.734161376953125","0.734161376953125","0.734161376953125"
"362","20270","20270","20270","0.7421875","0.7421875","0.7421875"
"363","20326","20326","20326","0.763702392578125","0.763702392578125","0.763702392578125"
