Step,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX
393,13873.372760499187,13873.372760499187,13873.372760499187
394,13756.309040478127,13756.309040478127,13756.309040478127
395,13766.737117425233,13766.737117425233,13766.737117425233
396,13819.960409292747,13819.960409292747,13819.960409292747
397,13885.759673765684,13885.759673765684,13885.759673765684
398,13952.04497606153,13952.04497606153,13952.04497606153
399,13848.732095661771,13848.732095661771,13848.732095661771
400,13764.920804898791,13764.920804898791,13764.920804898791
401,14237.319063125338,14237.319063125338,14237.319063125338
402,13917.849913991677,13917.849913991677,13917.849913991677
403,13813.271120073457,13813.271120073457,13813.271120073457
404,13844.959862204798,13844.959862204798,13844.959862204798
405,13808.090078514351,13808.090078514351,13808.090078514351
406,13863.028670381793,13863.028670381793,13863.028670381793
407,13745.053597049779,13745.053597049779,13745.053597049779
408,13890.504997277936,13890.504997277936,13890.504997277936
409,13722.422500471263,13722.422500471263,13722.422500471263
410,13974.099065566515,13974.099065566515,13974.099065566515
411,13919.398547769502,13919.398547769502,13919.398547769502
412,13866.982380672822,13866.982380672822,13866.982380672822
413,13857.012915027955,13857.012915027955,13857.012915027955
414,13907.131696197284,13907.131696197284,13907.131696197284
415,13815.492756863168,13815.492756863168,13815.492756863168
416,13946.804618229698,13946.804618229698,13946.804618229698
417,13954.107464231836,13954.107464231836,13954.107464231836
418,222.66787817808972,222.66787817808972,222.66787817808972
419,870.7854029168593,870.7854029168593,870.7854029168593
420,13835.423127720665,13835.423127720665,13835.423127720665
421,13922.278719983404,13922.278719983404,13922.278719983404
422,828.5728755970827,828.5728755970827,828.5728755970827
423,13601.970572648905,13601.970572648905,13601.970572648905
424,13983.524480578924,13983.524480578924,13983.524480578924
425,13805.027691157162,13805.027691157162,13805.027691157162
426,13933.841474175968,13933.841474175968,13933.841474175968
427,13776.930589830336,13776.930589830336,13776.930589830336
428,14034.602489322839,14034.602489322839,14034.602489322839
429,13967.131071981406,13967.131071981406,13967.131071981406
430,13983.509304774996,13983.509304774996,13983.509304774996
431,13958.907186373142,13958.907186373142,13958.907186373142
432,13972.20490120703,13972.20490120703,13972.20490120703
433,13878.378687128768,13878.378687128768,13878.378687128768
434,13789.079402586394,13789.079402586394,13789.079402586394
435,13921.66949802194,13921.66949802194,13921.66949802194
436,14039.205352045152,14039.205352045152,14039.205352045152
437,13938.830825550715,13938.830825550715,13938.830825550715
438,13967.6231477311,13967.6231477311,13967.6231477311
439,14027.276252353548,14027.276252353548,14027.276252353548
440,13900.905144075323,13900.905144075323,13900.905144075323
441,14017.677408194935,14017.677408194935,14017.677408194935
442,13828.704023233688,13828.704023233688,13828.704023233688
443,13755.949226975958,13755.949226975958,13755.949226975958
444,13805.560182682648,13805.560182682648,13805.560182682648
445,13839.04895741815,13839.04895741815,13839.04895741815
446,14078.459615764936,14078.459615764936,14078.459615764936
447,13246.02835915566,13246.02835915566,13246.02835915566
448,13909.000749699231,13909.000749699231,13909.000749699231
449,14035.343942616411,14035.343942616411,14035.343942616411
450,13974.296088143396,13974.296088143396,13974.296088143396
451,13932.154043112694,13932.154043112694,13932.154043112694
452,13981.620174486741,13981.620174486741,13981.620174486741
453,13251.089110010587,13251.089110010587,13251.089110010587
454,13902.847529865454,13902.847529865454,13902.847529865454
455,13913.994861987454,13913.994861987454,13913.994861987454
456,13889.187358317891,13889.187358317891,13889.187358317891
457,13933.329175110353,13933.329175110353,13933.329175110353
458,14076.606258975475,14076.606258975475,14076.606258975475
459,13810.532085213294,13810.532085213294,13810.532085213294
460,13691.415239824737,13691.415239824737,13691.415239824737
461,13880.083020441096,13880.083020441096,13880.083020441096
462,822.0420917465293,822.0420917465293,822.0420917465293
463,13796.81625520396,13796.81625520396,13796.81625520396
464,13918.511424122471,13918.511424122471,13918.511424122471
465,13943.31071798046,13943.31071798046,13943.31071798046
466,13889.007699645901,13889.007699645901,13889.007699645901
467,13833.811432494835,13833.811432494835,13833.811432494835
468,13935.20527735704,13935.20527735704,13935.20527735704
469,13860.821541505058,13860.821541505058,13860.821541505058
470,13906.89903795042,13906.89903795042,13906.89903795042
471,14040.957067689698,14040.957067689698,14040.957067689698
472,13868.071912177897,13868.071912177897,13868.071912177897
473,13927.9071422549,13927.9071422549,13927.9071422549
474,13916.880313917958,13916.880313917958,13916.880313917958
475,13847.422369480199,13847.422369480199,13847.422369480199
476,13862.693081834084,13862.693081834084,13862.693081834084
477,13960.767493754987,13960.767493754987,13960.767493754987
478,13992.218039185025,13992.218039185025,13992.218039185025
479,13808.341639298937,13808.341639298937,13808.341639298937
480,13928.946038300839,13928.946038300839,13928.946038300839
481,13815.08540328884,13815.08540328884,13815.08540328884
482,13188.568681900766,13188.568681900766,13188.568681900766
