"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"190","13767.737396974922","13767.737396974922","13767.737396974922"
"191","13809.525577826136","13809.525577826136","13809.525577826136"
"192","13902.51751099343","13902.51751099343","13902.51751099343"
"193","13885.026458800976","13885.026458800976","13885.026458800976"
"194","13971.204989552689","13971.204989552689","13971.204989552689"
"195","13946.789522022511","13946.789522022511","13946.789522022511"
"196","13927.877031637114","13927.877031637114","13927.877031637114"
"197","13796.277051910694","13796.277051910694","13796.277051910694"
"198","13909.42116828153","13909.42116828153","13909.42116828153"
"199","13868.773481971264","13868.773481971264","13868.773481971264"
"200","13791.426118173673","13791.426118173673","13791.426118173673"
"201","13614.77643806841","13614.77643806841","13614.77643806841"
"202","13747.02600325514","13747.02600325514","13747.02600325514"
"203","13906.598845263221","13906.598845263221","13906.598845263221"
"204","13883.141404400618","13883.141404400618","13883.141404400618"
"205","13913.979836724116","13913.979836724116","13913.979836724116"
"206","13439.846593700488","13439.846593700488","13439.846593700488"
"207","13770.805336935751","13770.805336935751","13770.805336935751"
"208","13954.379486202008","13954.379486202008","13954.379486202008"
"209","13940.195605640385","13940.195605640385","13940.195605640385"
"210","13891.703067841838","13891.703067841838","13891.703067841838"
"211","13737.843369267726","13737.843369267726","13737.843369267726"
"212","13303.201091521247","13303.201091521247","13303.201091521247"
"213","13984.290901513376","13984.290901513376","13984.290901513376"
"214","14012.67717906402","14012.67717906402","14012.67717906402"
"215","13729.177668739112","13729.177668739112","13729.177668739112"
"216","13893.478089705","13893.478089705","13893.478089705"
"217","13846.291441669433","13846.291441669433","13846.291441669433"
"218","13920.300823394495","13920.300823394495","13920.300823394495"
"219","13755.523349604866","13755.523349604866","13755.523349604866"
"220","13887.892422714664","13887.892422714664","13887.892422714664"
"221","13893.69531762189","13893.69531762189","13893.69531762189"
"222","13827.806162408471","13827.806162408471","13827.806162408471"
"223","13852.774460385439","13852.774460385439","13852.774460385439"
"224","13884.607513585683","13884.607513585683","13884.607513585683"
"225","13653.266782731798","13653.266782731798","13653.266782731798"
"226","13844.513580029365","13844.513580029365","13844.513580029365"
"227","13815.507570173073","13815.507570173073","13815.507570173073"
"228","13928.291064044142","13928.291064044142","13928.291064044142"
"229","13804.021985898042","13804.021985898042","13804.021985898042"
"230","13833.002012966726","13833.002012966726","13833.002012966726"
"231","13917.361338928402","13917.361338928402","13917.361338928402"
"232","13839.368537618182","13839.368537618182","13839.368537618182"
"233","13942.405457110952","13942.405457110952","13942.405457110952"
"234","13987.091708147911","13987.091708147911","13987.091708147911"
"235","13612.453496240303","13612.453496240303","13612.453496240303"
"236","13987.068932838762","13987.068932838762","13987.068932838762"
"237","13912.740364260668","13912.740364260668","13912.740364260668"
"238","13798.219858664888","13798.219858664888","13798.219858664888"
"239","14027.986386707225","14027.986386707225","14027.986386707225"
"240","13645.740625167133","13645.740625167133","13645.740625167133"
"241","13160.428621622284","13160.428621622284","13160.428621622284"
"242","13981.688447413098","13981.688447413098","13981.688447413098"
"243","13961.538986147252","13961.538986147252","13961.538986147252"
"244","13891.815397553146","13891.815397553146","13891.815397553146"
"245","13896.894597965764","13896.894597965764","13896.894597965764"
"246","13742.180323095678","13742.180323095678","13742.180323095678"
"247","13949.58287668897","13949.58287668897","13949.58287668897"
"248","13946.66875354149","13946.66875354149","13946.66875354149"
"249","13921.827439336674","13921.827439336674","13921.827439336674"
"250","9191.581836554096","9191.581836554096","9191.581836554096"
"251","13998.693975463802","13998.693975463802","13998.693975463802"
"252","13224.49366071346","13224.49366071346","13224.49366071346"
"253","8750.67872641849","8750.67872641849","8750.67872641849"
"254","9233.030558805036","9233.030558805036","9233.030558805036"
"255","13959.23988787021","13959.23988787021","13959.23988787021"
"256","13976.660792483242","13976.660792483242","13976.660792483242"
"257","13804.347345093634","13804.347345093634","13804.347345093634"
"258","13970.652069564292","13970.652069564292","13970.652069564292"
"259","13888.37144589449","13888.37144589449","13888.37144589449"
"260","13911.178192375191","13911.178192375191","13911.178192375191"
"261","13834.516967141564","13834.516967141564","13834.516967141564"
"262","13830.75989575059","13830.75989575059","13830.75989575059"
"263","13797.000923554822","13797.000923554822","13797.000923554822"
"264","13811.38329051075","13811.38329051075","13811.38329051075"
"265","13957.410225871288","13957.410225871288","13957.410225871288"
"266","13732.279669570167","13732.279669570167","13732.279669570167"
"267","13884.001583984304","13884.001583984304","13884.001583984304"
"268","13898.843359328019","13898.843359328019","13898.843359328019"
"269","13951.274532531295","13951.274532531295","13951.274532531295"
"270","13853.385114674325","13853.385114674325","13853.385114674325"
"271","13785.088868763565","13785.088868763565","13785.088868763565"
"272","13897.276811917773","13897.276811917773","13897.276811917773"
"273","13602.710098545182","13602.710098545182","13602.710098545182"
"274","13798.66316119767","13798.66316119767","13798.66316119767"
"275","13988.967129748251","13988.967129748251","13988.967129748251"
"276","13878.894428041936","13878.894428041936","13878.894428041936"
"277","13717.79130486626","13717.79130486626","13717.79130486626"
"278","13940.203146604234","13940.203146604234","13940.203146604234"
"279","13931.822631463992","13931.822631463992","13931.822631463992"
"280","13782.478937569764","13782.478937569764","13782.478937569764"
"281","13747.297345049656","13747.297345049656","13747.297345049656"
"282","13763.340194226403","13763.340194226403","13763.340194226403"
"283","13931.506298689012","13931.506298689012","13931.506298689012"
"284","13848.933041484239","13848.933041484239","13848.933041484239"
"285","13834.212464414346","13834.212464414346","13834.212464414346"
"286","13768.64954325884","13768.64954325884","13768.64954325884"
"287","13923.610168365121","13923.610168365121","13923.610168365121"
"288","13921.95529921627","13921.95529921627","13921.95529921627"
"289","13881.301725883948","13881.301725883948","13881.301725883948"
"290","13820.271696704667","13820.271696704667","13820.271696704667"
"291","13298.464176183028","13298.464176183028","13298.464176183028"
"292","13846.172407382532","13846.172407382532","13846.172407382532"
"293","13865.564753541343","13865.564753541343","13865.564753541343"
"294","13918.143075495564","13918.143075495564","13918.143075495564"
"295","13832.059047292905","13832.059047292905","13832.059047292905"
"296","13697.397249337582","13697.397249337582","13697.397249337582"
"297","13799.660696050118","13799.660696050118","13799.660696050118"
"298","13788.90970255431","13788.90970255431","13788.90970255431"
"299","13796.410002232498","13796.410002232498","13796.410002232498"
"300","13891.089030861416","13891.089030861416","13891.089030861416"
"301","13641.594303201433","13641.594303201433","13641.594303201433"
"302","13278.17487133933","13278.17487133933","13278.17487133933"
"303","13929.202021992847","13929.202021992847","13929.202021992847"
"304","13926.492083942205","13926.492083942205","13926.492083942205"
"305","13904.385324367984","13904.385324367984","13904.385324367984"
"306","13487.693903955582","13487.693903955582","13487.693903955582"
"307","13917.008082943192","13917.008082943192","13917.008082943192"
"308","13910.750158433693","13910.750158433693","13910.750158433693"
"309","13876.861584655962","13876.861584655962","13876.861584655962"
"310","13857.460003420027","13857.460003420027","13857.460003420027"
"311","13798.69271571264","13798.69271571264","13798.69271571264"
"312","13874.76210335888","13874.76210335888","13874.76210335888"
"313","13827.583570323215","13827.583570323215","13827.583570323215"
"314","13823.592968527884","13823.592968527884","13823.592968527884"
"315","13802.935101607945","13802.935101607945","13802.935101607945"
"316","13854.398025854214","13854.398025854214","13854.398025854214"
"317","13916.008540833021","13916.008540833021","13916.008540833021"
"318","13891.148934518664","13891.148934518664","13891.148934518664"
"319","13408.245835321344","13408.245835321344","13408.245835321344"
"320","13845.056560468489","13845.056560468489","13845.056560468489"
"321","13929.473073804607","13929.473073804607","13929.473073804607"
"322","13688.5425314807","13688.5425314807","13688.5425314807"
"323","13841.12277550731","13841.12277550731","13841.12277550731"
"324","13769.870831536611","13769.870831536611","13769.870831536611"
"325","13913.115938656569","13913.115938656569","13913.115938656569"
"326","13673.660136122138","13673.660136122138","13673.660136122138"
"327","13884.0689068839","13884.0689068839","13884.0689068839"
"328","13797.000923554822","13797.000923554822","13797.000923554822"
"329","13969.031432999363","13969.031432999363","13969.031432999363"
"330","13762.568400005126","13762.568400005126","13762.568400005126"
"331","13773.933541467231","13773.933541467231","13773.933541467231"
"332","13772.18157185772","13772.18157185772","13772.18157185772"
"333","13951.742831202117","13951.742831202117","13951.742831202117"
"334","13930.158279588026","13930.158279588026","13930.158279588026"
"335","13887.907391688857","13887.907391688857","13887.907391688857"
"336","13649.997921497876","13649.997921497876","13649.997921497876"
"337","13817.648427446336","13817.648427446336","13817.648427446336"
"338","13853.362772714958","13853.362772714958","13853.362772714958"
"339","13858.264835232205","13858.264835232205","13858.264835232205"
"340","13972.530660910612","13972.530660910612","13972.530660910612"
"341","13789.426193902107","13789.426193902107","13789.426193902107"
"342","13311.701666842297","13311.701666842297","13311.701666842297"
"343","13880.083020441096","13880.083020441096","13880.083020441096"
"344","13938.024147526752","13938.024147526752","13938.024147526752"
"345","13966.926681477395","13966.926681477395","13966.926681477395"
"346","13900.605210096544","13900.605210096544","13900.605210096544"
"347","13790.37073529404","13790.37073529404","13790.37073529404"
"348","13921.782312881069","13921.782312881069","13921.782312881069"
"349","13884.614994528549","13884.614994528549","13884.614994528549"
"350","13875.9201016606","13875.9201016606","13875.9201016606"
"351","13926.860874626493","13926.860874626493","13926.860874626493"
"352","13912.928148923995","13912.928148923995","13912.928148923995"
"353","13778.779542660806","13778.779542660806","13778.779542660806"
"354","13980.565821732052","13980.565821732052","13980.565821732052"
"355","13852.387244095758","13852.387244095758","13852.387244095758"
